ranking,codigo ibge,cidade ,estado,populacao,uf
1756§,1100148,Nova Brasilƒndia d'Oeste,ro,20ÿ504,ro
1757§,1300631,Beruri,ÿam,20ÿ503,am
1758§,4310009,Ibirub ,rs,20ÿ474,rs
1759§,2902609,Baixa Grande,ba,20ÿ431,ba
1760§,4106506,Coronel Vivida,pr ,20ÿ430,pr 
1761§,5201702,Aragarcas,go,20ÿ410,go
1762§,2514503,Sao Jose de Piranhas,pb,20ÿ406,pb
1763§,1303205,Novo Airao,ÿam,20ÿ395,am
1764§,2917102,Itoror¢,ba,20ÿ394,ba
1765§,3511409,Cerqueira Cesar,sp,20ÿ391,sp
1766§,2931004,Tanha‡u,ba,20ÿ383,ba
1767§,2102606,Cƒndido Mendes,ma,20ÿ376,ma
1768§,4124400,Santo Ant“nio do Sudoeste,pr ,20ÿ354,pr 
1769§,2307254,Jijoca de Jericoacoara,ce ,20ÿ351,ce 
1770§,3146305,Padre Para¡so,mg,20ÿ346,mg
1771§,2505105,Cuite,pb,20ÿ331,pb
1772§,2932705,Uru‡uca,ba,20ÿ312,ba
1773§,2915502,Itaju¡pe,ba,20ÿ309,ba
1774§,2109502,Riachao,ma,20ÿ288,ma
1775§,2303956,Chorozinho,ce ,20ÿ286,ce 
1776§,3169703,Turmalina,mg,20ÿ280,mg
1777§,2700102,Agua Branca,ÿal,20ÿ263,al
1778§,3304110,Porto Real,rj,20ÿ254,rj
1779§,2106300,Magalhaes de Almeida,ma,20ÿ228,ma
1780§,2902807,Barra da Estiva,ba,20ÿ198,ba
1781§,2305357,Icapu¡,ce ,20ÿ183,ce 
1782§,3301108,Cantagalo,rj,20ÿ163,rj
1783§,2709103,Taquarana,ÿal,20ÿ162,al
1784§,2707503,Porto Real do Colegio,ÿal,20ÿ158,al
1785§,5007935,Sonora,ms,20ÿ158,ms
1786§,1200385,Pl cido de Castro,ÿac,20ÿ147,ac
1787§,3131208,Ipanema,mg,20ÿ133,mg
1788§,2305209,Hidrolƒndia,ce ,20ÿ126,ce 
1789§,5204904,Campos Belos,go,20ÿ124,go
1790§,1400456,Pacaraima,rr,20ÿ108,rr
1791§,3101904,Alpin¢polis,mg,20ÿ059,mg
1792§,2806206,Salgado,se,20ÿ051,se
1793§,3508009,Buri,sp,20ÿ050,sp
1794§,2603801,Capoeiras,pe,20ÿ048,pe
1795§,2924603,Pindoba‡u,ba,20ÿ048,ba
1796§,1300680,Boa Vista do Ramos,ÿam,20ÿ040,am
1797§,2307635,Madalena,ce ,20ÿ031,ce 
1798§,5007406,Rio Verde de Mato Grosso,ms,20ÿ025,ms
1799§,3122009,Divino,mg,20ÿ020,mg
1800§,5218904,Rubiataba,go,20ÿ012,go
1801§,3159803,Santa Vit¢ria,mg,19ÿ997,mg
1802§,2912202,Ibicoara,ba,19ÿ990,ba
1803§,2600203,Afrƒnio,pe,19ÿ981,pe
1804§,2313757,Umirim,ce ,19ÿ976,ce 
1805§,2512705,Rem¡gio,pb,19ÿ973,pb
1806§,2920502,Marac s,ba,19ÿ973,ba
1807§,2916807,Itarantim,ba,19ÿ937,ba
1808§,2704401,Major Izidoro,ÿal,19ÿ923,al
1809§,3137700,Lajinha,mg,19ÿ914,mg
1810§,1200708,Xapuri,ÿac,19ÿ866,ac
1811§,2500601,Alhandra,pb,19ÿ865,pb
1812§,2932101,Uba¡ra,ba,19ÿ860,ba
